,km_driven,fuel,seller_type,transmission,owner,seats,age,mileage_count,engine_volume,max_power_count,torque_1,rpm_min,rpm_max
0,145500,Diesel,Individual,Manual,First Owner,5.0,7,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
1,120000,Diesel,Individual,Manual,Second Owner,5.0,7,17.969,1498.0,103.52,250.0,1500.0,2500.0
2,127000,Diesel,Individual,Manual,First Owner,5.0,11,19.55,1396.0,90.0,219.52,1750.0,2750.0
3,120000,Petrol,Individual,Manual,First Owner,5.0,14,12.075000000000001,1298.0,88.2,112.7,4500.0,4500.0
4,45000,Petrol,Individual,Manual,First Owner,5.0,4,15.105,1197.0,81.86,113.75,4000.0,4000.0
5,175000,LPG,Individual,Manual,First Owner,5.0,14,17.3,1061.0,57.5,76.44,4500.0,4500.0
6,5000,Petrol,Individual,Manual,Second Owner,4.0,14,12.075000000000001,796.0,37.0,59.0,2500.0,2500.0
7,90000,Diesel,Individual,Manual,First Owner,5.0,10,20.0515,1364.0,67.1,170.0,1800.0,2400.0
8,169000,Diesel,Individual,Manual,First Owner,5.0,8,17.0,1399.0,68.1,160.0,2000.0,2000.0
9,68000,Diesel,Individual,Manual,Second Owner,5.0,7,16.1585,1461.0,108.45,248.0,2250.0,2250.0
10,100000,Petrol,Individual,Manual,Second Owner,5.0,14,12.975000000000001,993.0,60.0,78.0,4500.0,4500.0
11,140000,Diesel,Individual,Manual,Second Owner,5.0,12,16.405,1248.0,73.9,190.0,2000.0,2000.0
13,90000,Petrol,Individual,Manual,Second Owner,5.0,12,14.174999999999999,1061.0,67.0,84.0,3500.0,3500.0
14,40000,Petrol,Individual,Manual,First Owner,5.0,5,13.612499999999999,1198.0,82.0,115.0,3500.0,3600.0
15,53000,Diesel,Individual,Manual,Second Owner,5.0,9,19.55,1396.0,90.0,219.52,1750.0,2750.0
16,80000,Petrol,Individual,Manual,Second Owner,5.0,14,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
17,100000,Diesel,Individual,Manual,First Owner,5.0,5,19.159,1396.0,88.73,219.7,1500.0,2750.0
18,100000,Diesel,Individual,Manual,Second Owner,5.0,10,17.849999999999998,1461.0,64.1,160.0,2000.0,2000.0
19,50000,Diesel,Individual,Manual,First Owner,5.0,4,21.675,1498.0,98.6,200.0,1750.0,1750.0
20,40000,Diesel,Individual,Manual,First Owner,5.0,6,22.601499999999998,1248.0,74.0,190.0,2000.0,2000.0
21,72000,Diesel,Individual,Manual,First Owner,5.0,9,18.275,1248.0,88.8,200.0,1750.0,1750.0
22,45000,Petrol,Individual,Manual,First Owner,5.0,5,16.049999999999997,1197.0,83.1,115.0,4000.0,4000.0
23,28000,Petrol,Individual,Manual,First Owner,5.0,4,18.525,796.0,47.3,69.0,3500.0,3500.0
24,70000,Diesel,Individual,Manual,First Owner,7.0,8,15.469999999999999,1248.0,73.8,172.5,1750.0,1750.0
25,120000,Petrol,Individual,Manual,First Owner,5.0,12,14.174999999999999,1061.0,67.0,84.0,3500.0,3500.0
26,25000,Petrol,Individual,Manual,First Owner,8.0,3,12.600000000000001,796.0,34.2,59.0,2500.0,2500.0
27,70000,Diesel,Individual,Manual,First Owner,5.0,4,20.655,1248.0,88.5,200.0,1750.0,1750.0
29,35000,Petrol,Individual,Manual,Second Owner,5.0,9,10.5,796.0,35.0,59.78,3000.0,3000.0
30,16200,Diesel,Individual,Manual,First Owner,5.0,4,20.655,1248.0,88.5,200.0,1750.0,1750.0
31,10000,CNG,Individual,Manual,Second Owner,4.0,2,33.44,796.0,40.3,60.0,3500.0,3500.0
32,15000,Petrol,Individual,Manual,First Owner,5.0,2,17.9625,998.0,67.1,90.0,3500.0,3500.0
33,5000,Petrol,Individual,Manual,First Owner,5.0,2,12.75,1591.0,121.3,151.0,4850.0,4850.0
34,42000,Petrol,Individual,Manual,First Owner,5.0,5,15.4725,1198.0,67.0,104.0,4000.0,4000.0
35,60000,Diesel,Individual,Manual,Second Owner,7.0,10,11.840499999999999,2179.0,138.03,320.0,1700.0,2700.0
36,76000,Petrol,Individual,Manual,First Owner,4.0,9,12.075000000000001,796.0,37.0,59.0,2500.0,2500.0
37,5000,Petrol,Individual,Automatic,First Owner,5.0,2,12.0,1368.0,160.77,250.0,1750.0,2500.0
38,28900,Petrol,Dealer,Manual,First Owner,5.0,3,13.350000000000001,1497.0,117.3,145.0,4600.0,4600.0
39,86300,Petrol,Dealer,Manual,First Owner,5.0,8,12.600000000000001,1497.0,116.3,146.0,4800.0,4800.0
40,32600,Diesel,Dealer,Manual,First Owner,5.0,3,20.655,1248.0,88.5,200.0,1750.0,1750.0
41,10300,Petrol,Dealer,Manual,First Owner,5.0,3,17.9625,998.0,67.05,90.0,3500.0,3500.0
42,77000,Diesel,Dealer,Manual,First Owner,7.0,7,10.6675,2982.0,168.5,343.0,1400.0,3400.0
43,99000,Diesel,Dealer,Manual,First Owner,7.0,8,11.0415,2494.0,100.0,200.0,1400.0,3400.0
44,27800,Diesel,Dealer,Automatic,Second Owner,5.0,7,12.58,2143.0,120.7,200.0,1250.0,4000.0
45,49800,Diesel,Dealer,Manual,First Owner,5.0,6,20.994999999999997,1498.0,98.63,200.0,1750.0,1750.0
46,151000,Diesel,Dealer,Manual,First Owner,7.0,8,11.475,2477.0,175.56,400.0,2000.0,2500.0
47,54700,Diesel,Dealer,Manual,First Owner,5.0,6,22.099999999999998,1498.0,98.6,200.0,1750.0,1750.0
48,63000,Diesel,Dealer,Manual,First Owner,5.0,6,23.205,1498.0,98.6,200.0,1750.0,1750.0
49,127700,Diesel,Dealer,Automatic,Second Owner,7.0,5,9.655999999999999,2755.0,171.5,360.0,1200.0,3400.0
50,99000,Diesel,Dealer,Manual,First Owner,7.0,5,11.0415,2494.0,100.6,200.0,1200.0,3600.0
51,33900,Diesel,Dealer,Automatic,Second Owner,5.0,8,15.027999999999999,1968.0,174.33,380.0,1750.0,2500.0
52,50000,Diesel,Dealer,Automatic,First Owner,5.0,8,15.7505,1968.0,187.74,400.0,1750.0,3000.0
53,59000,Diesel,Dealer,Automatic,First Owner,5.0,8,12.613999999999999,2143.0,170.0,400.0,1400.0,2800.0
54,120000,Diesel,Individual,Manual,First Owner,5.0,10,17.952,1248.0,88.8,200.0,1750.0,3000.0
55,110000,Petrol,Individual,Manual,Third Owner,5.0,10,15.27,1197.0,78.9,111.7,4000.0,4000.0
56,60000,Diesel,Individual,Manual,First Owner,5.0,8,18.0795,1396.0,88.76,219.6,1500.0,2750.0
57,147000,Diesel,Individual,Manual,Second Owner,5.0,6,22.601499999999998,1248.0,74.0,190.0,2000.0,2000.0
58,25000,Petrol,Individual,Manual,Third Owner,5.0,4,13.620000000000001,1196.0,86.8,112.0,4000.0,4000.0
59,30000,Petrol,Individual,Manual,First Owner,5.0,2,16.049999999999997,1197.0,83.1,115.0,4000.0,4000.0
60,40000,Diesel,Individual,Manual,First Owner,5.0,5,18.7,1498.0,108.495,250.0,1500.0,3000.0
